claim, title, claim_author, links, tags, authors, rating_value
"Nrc started in assam.They have begun evicting people from their homes,the media doesn't show it ,they are already bought and gagged ,so it is our responsibility now to share this video.", "Fact Check: This is an old video from Rajasthan, has no connection with Assam NRC", "Munnu Rahman", "['http://archive.md/D3KXv', 'http://archive.md/YUZbn', 'http://archive.md/vQWFA', 'https://t.co/7Nm2wggJ2C', 'https://twitter.com/sarchana1016/status/1159138362743128064?ref_src=twsrc%5Etfw', 'http://archive.md/BObFo', 'https://t.co/wnZfpub654', 'https://twitter.com/jaipur_police/status/1159843393020649473?ref_src=twsrc%5Etfw', 'http://epaper.patrika.com/2269423/Rajasthan-Patrika-Jaipur/Rajasthan-Patrika-Jaipur#page/10/2', 'https://www.jagran.com/news/national-assam-nrc-final-list-to-be-published-today-future-of-41-lakh-people-will-be-decided-19534548.html']", "2020-1-22", "['Assam NRC', 'NRC']", "['Pallavi Mishra', 'Urvashi Kapoor']", "False"
"पाकिस्तान में हिन्दू महिलाओ को उनके बच्चों के सामने माँ बहनो को जबरदस्ती उठाकर लेजाया जा रहा है सभी हिन्दू इसको सेयर करे ताकि दुनिया को और उन हिन्दुओ को पता चल सके जो NRC और CAA का विरोध कर रहे ह और कांग्रेश का साथ दे रहे हैhttps://www.facebook.com/sumitch.roy.10/videos/2554128794823317/", "Fact Check: Video from Jodhpur being shared with wrong claim of atrocities on Hindus in Pakistan", "Sumit CH Roy", "['http://archive.md/wip/Ju2iV', 'http://archive.md/wip/NFGlH', 'http://archive.md/wip/rQJYz']", "2020-1-8", "['CAA', 'Hindus in Pakistan']", "['Pallavi Mishra']", "False"
"आदरणीय जुम्मन चाचा को बदनाम करने, उनके भेष में सरकारी संपत्ति को नुकसान पहुंचाती दिल्ली पुलिस।", "Fact Check: Video of man throwing stone at a bus is old and is from Surat, no relation with CAA protests", "Anurag Sharma", "['http://archive.md/wip/RZsoq']", "2019-12-23", "['CAA protests', 'CAB']", "['Pallavi Mishra']", "False"
"The last prayer was offered at the babri mosque. After this prayer, the place of the mosque will be handed over to the Hindu administration. #AyodhaVerdict #BabriMasjid", "Fact Check: Photo of Delhi’s Kotla Mosque is being shared as Ayodhya’s", "Muhammad Zia", "[]", "2019-11-19", "['Ayodhya', 'Babri Masjid', 'Firoz Shah Kotla', 'Kotla Masjid']", "['Pallavi Mishra']", "False"
"After winning 2019 Canada's Elections, Justin Trudeau visited Gurudwara", "Fact Check: Old pictures of Justin Trudeau visiting Gurudwara is going viral with fake claim", "FB User- Dhan Mata Gujri Ji Trust Jagraon", "[]", "2019-10-31", "['Canada Elections', 'Fact Check', 'Gurudwara', 'Justin Trudeau']", "['Bhagwant Singh']", "Misleading"
"Dangerous conspiracy. RSS man in burqa caught by masjid", "Fact Check: This man in burqa has nothing to do with RSS", "Shaikh Azeem", "[]", "2019-9-30", "['Man in Burqa']", "['Pallavi Mishra']", "False"
"This photo can determine the state of mind.", "Fact Check: No, this illusion cannot determine your state of mind", "FB User-Jigyasa Kathuria", "[]", "2019-9-24", "['Fact Check', 'Health Check', 'Illusion', 'State of Mind']", "['Urvashi Kapoor']", "False"
"ਸਵੇਰੇ ਕੋੜੀ ਦਵਾਈ ਪੀਕੇ ਪੇਟ ਦੇ ਮੱਛਰ ਮਾਰਦੇ ਸਾਡੇ ਦਿੱਲੀ ਦੇ ਮਾਲਕ ਸ਼੍ਰੀ ਘੁੰਘਰ ਸੇਠ", "Fact Check: No, Arvind Kejriwal did not hold the bottle of liquor, viral picture is Photoshopped", "FB User-Paa Tii Topi ਪਾ ਤੀ ਟੋਪੀ", "[]", "2019-9-17", "['Arvind kejriwal', 'Delhi CM', 'Dengue Prevention', 'Fact Check']", "['Bhagwant Singh']", "False"
"Aam Aadmi Party chief and Chief Minister of Delhi Arvind Kejriwal wore a bomb disposal suit", "Fact Check: Kejriwal Did Not Wear Bomb Disposal Suit, Old Morphed Picture Is Going Viral", "FB page यूपी मुख्यमंत्री रिपोर्ट कार्ड", "[]", "2019-9-4", "['AAP', 'Arvind kejriwal']", "['Pallavi Mishra']", "False"
" PM Modi wore keffiyeh on his head in the UAE", "Fact Check: Photoshopped image of Prime Minister Modi is going viral", "AIMIM Bharuch Gujarat", "[]", "2019-8-27", "['Narendra Modi', 'Tri-Nation visit', 'UAE King']", "['Pallavi Mishra']", "False"
